number;ScientificName_accepted;REFERENCE;SITE;YEAR;LONGITUDE;LATITUDE
109;Caulerpa cylindracea;Verlaque et al 2004;Caleta de Adeje_Playa del Veril;2003;-16.74752;28.08588
111;Caulerpa cylindracea;Verlaque et al 2004;Los Cristianos_ El Palm Mar;2003;-16.68153;27.99841
112;Caulerpa cylindracea;Verlaque et al 2004;La Tajita_Los Abrigos;2003;-16.54803;28.01529
125;Caulerpa cylindracea;Verlaque et al 2004;San Andres;2003;-16.1666666;28.5
127;Caulerpa cylindracea;Verlaque et al 2004;Agaete;2002;-15.71304;28.09531
128;Caulerpa cylindracea;Verlaque et al 2004;Castillo del Romeral;2002;-15.45;27.8
152;Caulerpa cylindracea;Verlaque et al 2004;Bahia de Avila;2002;-13.7333333;28.88333333
1919;Caulerpa cylindracea;Pena Martin et al 2003;Aguamarga;2002;-1.89965;36.93766
2164;Caulerpa cylindracea;Pena Martin et al 2003;Santa Pola;2002;-0.56138;38.18154
2168;Caulerpa cylindracea;Pena Martin et al 2003;Playa del Carabassi;2003;-0.50091;38.22348
2169;Caulerpa cylindracea;Aranda 2004;Tabarca;2003;-0.49276;38.16862
2170;Caulerpa cylindracea;Aranda 2004;Alicante Bay;2000;-0.47527;38.3288
2172;Caulerpa cylindracea;Pena Martin et al 2003;Cabo de Las Huertas;2003;-0.40218;38.34355
2189;Caulerpa cylindracea;Aranda 2004;Sagunto;2002;-0.19902;39.6441
2193;Caulerpa cylindracea;Aranda 2004;Castellon;1999;0.02608;39.94558
2301;Caulerpa cylindracea;Caulerpa org;Cala de Son Caios;1998;2.68812;39.54063
2830;Caulerpa cylindracea;Caulerpa org;Niolon;1998;5.26073;43.34504
2843;Caulerpa cylindracea;Caulerpa org;Pointe de Corbiere;1998;5.30905;43.36556
2844;Caulerpa cylindracea;Caulerpa org;Entree Port Estaque;1997;5.31507;43.36489
2847;Caulerpa cylindracea;Caulerpa org;Sud Chateau d_If;1998;5.31741;43.28129
2851;Caulerpa cylindracea;Verlaque et al 2000;Marseilles;1997;5.32892;43.35187
2854;Caulerpa cylindracea;Caulerpa org;Calanque de l_Escalette;1998;5.33881;43.23213
2860;Caulerpa cylindracea;ALIENS data;Marseille;2002;5.35341;43.27474
2864;Caulerpa cylindracea;Caulerpa org;La Mounine;2003;5.36389;43.21206
2866;Caulerpa cylindracea;Caulerpa org;Ile Planier;2003;5.38563;43.2017
2868;Caulerpa cylindracea;Caulerpa org;Off La Calaque de l_Escu;2003;5.38958;43.20956
2872;Caulerpa cylindracea;Caulerpa org;Ile Plane;2003;5.39867;43.19434
2982;Caulerpa cylindracea;ALIENS data;Toulon;2002;5.91415;43.10611
2999;Caulerpa cylindracea;Caulerpa org;Carqueiranne to La Grande Jetee;2000;5.97942;43.10076
3009;Caulerpa cylindracea;Caulerpa org;Fourmigues;2002;6.06608;43.04191
3018;Caulerpa cylindracea;Caulerpa org;Golfe de Giens;2003;6.10725;43.05309
3021;Caulerpa cylindracea;Caulerpa org;Bergerie Hyeres;2000;6.15524;43.05091
3023;Caulerpa cylindracea;Caulerpa org;Presqu_ile du Langoustier;2003;6.15688;43.007
3026;Caulerpa cylindracea;ALIENS data;Hyeres;2002;6.15843;43.08112
3037;Caulerpa cylindracea;Caulerpa org;Off l'Ayguade;2003;6.1866;43.10244
3039;Caulerpa cylindracea;Caulerpa org;Cap des Medes;1999;6.23923;43.02855
3055;Caulerpa cylindracea;Caulerpa org;Btwn Bagaud and Port Cros;2002;6.36903;43.013
3061;Caulerpa cylindracea;Caulerpa org;Port Cros;2001;6.42302;43.00319
3129;Caulerpa cylindracea;Caulerpa org;Coco Beach Nice;2003;7.29175;43.69614
3135;Caulerpa cylindracea;Caulerpa org;Villefranche sur Mer;1999;7.3113;43.70817
3311;Caulerpa cylindracea;Modena et al 2000;Varazze;1998;8.638888889;44.37777778
3334;Caulerpa cylindracea;Verlaque et al 2000;Genoa;1995;8.77092;44.43185
3358;Caulerpa cylindracea;Modena et al 2000;Sturla;1998;8.994722222;44.39444444
3360;Caulerpa cylindracea;Modena et al 2000;Quinto;1995;9.016666667;44.38611111
3367;Caulerpa cylindracea;Modena et al 2000;Nervi;1999;9.052777778;44.38527778
3370;Caulerpa cylindracea;Cossu Gazale 1997;Golfo di Cagliari;1994;9.09706;39.20852
3382;Caulerpa cylindracea;Caulerpa org;Santa Manza Gulf;2002;9.23665;41.43768
3397;Caulerpa cylindracea;Marino et al 1999;Penisola della Maddalena;1998;9.44117;41.24134
3401;Caulerpa cylindracea;Caulerpa org;PietraNera;2002;9.46481;42.72711
3499;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.23544;43.56905
3501;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.238;43.57793
3503;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.24157;43.56017
3504;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.24157;43.57312
3505;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.24208;43.56794
3507;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.24566;43.58533
3508;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.24719;43.57719
3509;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.2477;43.5598
3510;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.24974;43.57238
3511;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.25076;43.56757
3512;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.25178;43.58237
3513;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.25178;43.58866
3514;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.25434;43.56461
3516;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.25638;43.57201
3517;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.25791;43.57682
3519;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.26098;43.5635
3520;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.26302;43.56979
3522;Caulerpa cylindracea;Piazzi et al 1994;Meloria Livorno;1993;10.26405;43.56689
3523;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.26557;43.58089
3524;Caulerpa cylindracea;Piazzi et al 1994;Livorno;1993;10.26659;43.5672
3525;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.26864;43.57423
3532;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.29213;43.55018
3533;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.29468;43.54389
3534;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.29468;43.56831
3535;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.29723;43.53722
3536;Caulerpa cylindracea;Verlaque et al 2000;Leghorn;1993;10.29894;43.54538
3537;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.3003;43.52982
3540;Caulerpa cylindracea;Piazzi et al 1997;Antignano;1996;10.31;43.5176
3546;Caulerpa cylindracea;Piazzi et al 1997;Livorno;1996;10.32225;43.49167
3580;Caulerpa cylindracea;Piazzi et al 1997;Rosignano Solvay;1996;10.4513;43.33305
3605;Caulerpa cylindracea;Djellouli 2000;Korbous;1999;10.55307;36.86151
3872;Caulerpa cylindracea;Alongi et al 1993;Cala Greca_Lampedusa;1993;12.60011;35.49065
3900;Caulerpa cylindracea;Verlaque et al 2000;Tajura;1990;13.30817;32.91031
3901;Caulerpa cylindracea;Nizamuddin 1991;Tajura;1990;13.31106;32.91158
3930;Caulerpa cylindracea;ALIENS data;Capo Grosso;2002;13.93342;40.70118
3940;Caulerpa cylindracea;ALIENS data;Chiaiolella;2002;14.00406;40.74057
3957;Caulerpa cylindracea;ALIENS data;Punta Trasete;2002;14.24313;40.5667
3966;Caulerpa cylindracea;Misfud 2000;Malta;2000;14.31587;35.99123
4003;Caulerpa cylindracea;Verlaque et al 2000;Gulf of Salerno;1996;14.76136;40.67851
4004;Caulerpa cylindracea;Gambi Terlizzi 1998;Golfo di Salerno;1996;14.76164;40.66911
4029;Caulerpa cylindracea;Verlaque et al 2000;Catania;1994;15.10432;37.5035
4067;Caulerpa cylindracea;Serio Pizzuto 1998;Baia di Brucoli;1998;15.1932;37.28573
4089;Caulerpa cylindracea;Alongi et al 1993;Baia di Sta Panagia_Siracusa;1993;15.27091;37.10964
4137;Caulerpa cylindracea;Zuljevic et al 2003;Marinkovac Islet_Hvar;2000;16.42861;43.15688
4143;Caulerpa cylindracea;Buia et al 1998;Gulf of Taranto;1996;17.1689;40.45747
4145;Caulerpa cylindracea;Verlaque et al 2000;Gulf of Tarento;1997;17.22972;40.47188
4175;Caulerpa cylindracea;Verlaque et al 2000;Zakynthos Island;1993;20.9101;37.80526
4199;Caulerpa cylindracea;Verlaque et al 2000;Gulf of Saronikos;1998;23.91061;37.73122
4200;Caulerpa cylindracea;Verlaque et al 2004;Saronikos;2000;23.91078;37.73159
4210;Caulerpa cylindracea;Verlaque et al 2000;Crete;1998;24.94137;35.42794
4224;Caulerpa cylindracea;Verlaque et al 2000;Samos Island;1998;26.7604;37.68628
4225;Caulerpa cylindracea;Verlaque et al 2004;Samos;2000;26.76042;37.68614
4226;Caulerpa cylindracea;Verlaque et al 2000;Kalimnos;1997;26.92895;36.96349
4229;Caulerpa cylindracea;Verlaque et al 2000;Kusadasi Harbour;1998;27.26746;37.92183
4245;Caulerpa cylindracea;Verlaque et al 2000;Gulf of Gokova;1997;28.32144;37.05088
4322;Caulerpa cylindracea;Verlaque et al 2000;Famagusta Harbour;1998;33.95737;35.10702
4323;Caulerpa cylindracea;Verlaque et al 2004;Famagusta;2000;33.96075;35.10345
2333;Caulerpa taxifolia;LEML 1997;Port de Saint Cyprien;1991;3.03152;42.6352
2374;Caulerpa taxifolia;LEML 1997;Porto Pedro;1995;3.14268;39.3271
2388;Caulerpa taxifolia;LEML 1997;Cala Longua;1995;3.19029;39.34817
2394;Caulerpa taxifolia;LEML 1997;Cala d'Or;1992;3.20185;39.35057
2936;Caulerpa taxifolia;LEML 1997;Les Lecques;1992;5.68434;43.18276
2962;Caulerpa taxifolia;LEML 1997;Lagune du Brusc;1992;5.7968;43.08102
2983;Caulerpa taxifolia;ALIENS data;Toulon;2002;5.91415;43.10611
2988;Caulerpa taxifolia;LEML 1997;Est de la Grande Jetee;1996;5.92788;43.10459
2990;Caulerpa taxifolia;LEML 1997;Base Aeronavale;1996;5.93175;43.08784
2991;Caulerpa taxifolia;LEML 1997;Pointe des Petits Freres;1996;5.93837;43.08898
2994;Caulerpa taxifolia;LEML 1997;Plage du Mourillon;1996;5.94375;43.11094
2996;Caulerpa taxifolia;LEML 1997;Est de la Rade des Vignettes;1996;5.95381;43.11094
2997;Caulerpa taxifolia;LEML 1997;Toulon Anse de Mejean;1990;5.96227;43.10988
3020;Caulerpa taxifolia;LEML 1997;Hyeres La Potiniere;1992;6.15123;43.07612
3027;Caulerpa taxifolia;ALIENS data;Hyeres;2002;6.15843;43.08112
3038;Caulerpa taxifolia;LEML 1997;Cap des Medes;1995;6.23542;43.03127
3056;Caulerpa taxifolia;LEML 1997;Lavandou Pilon de St Clair;1991;6.37183;43.1386
3060;Caulerpa taxifolia;LEML 1997;Baie de Port Man;1994;6.41432;43.01983
3083;Caulerpa taxifolia;LEML 1997;Anse de la Peguiere;1995;6.8019;43.41848
3087;Caulerpa taxifolia;LEML 1997;Rade d'Agay;1991;6.85937;43.43379
3088;Caulerpa taxifolia;LEML 1997;Pointe de la Baumette;1992;6.87177;43.43165
3089;Caulerpa taxifolia;LEML 1997;Anse de la Baumette;1995;6.87462;43.43247
3091;Caulerpa taxifolia;LEML 1997;Calanque des Anglais;1994;6.88496;43.4351
3092;Caulerpa taxifolia;LEML 1997;St Barthelemy;1995;6.91456;43.45427
3098;Caulerpa taxifolia;LEML 1997;Port de Theoule sur Mer;1993;6.94321;43.51619
3102;Caulerpa taxifolia;LEML 1997;Lerin Pointe du Barbier;1996;7.03611;43.51411
3104;Caulerpa taxifolia;LEML 1997;Le Moure Rouge;1994;7.04311;43.54714
3105;Caulerpa taxifolia;LEML 1997;Between Ste Marguerite and St Honorat;1996;7.04676;43.51822
3106;Caulerpa taxifolia;LEML 1997;Le Portet;1996;7.05133;43.52857
3107;Caulerpa taxifolia;LEML 1997;Est du Port Camille Rayon;1996;7.07659;43.57184
3110;Caulerpa taxifolia;LEML 1997;Batterie du Graillon;1995;7.11278;43.55217
3111;Caulerpa taxifolia;LEML 1997;Port Vauban;1996;7.12773;43.59986
3112;Caulerpa taxifolia;LEML 1997;Cap Gros;1995;7.14054;43.5606
3128;Caulerpa taxifolia;LEML 1997;Rauba Capeu;1994;7.28097;43.70256
3130;Caulerpa taxifolia;LEML 1997;Grotte a Corail;1992;7.3002;43.69977
3132;Caulerpa taxifolia;LEML 1997;Port de la Darse;1992;7.3027;43.70465
3134;Caulerpa taxifolia;LEML 1997;Off La Darse;1996;7.30662;43.70381
3139;Caulerpa taxifolia;LEML 1997;Pointe de la Cuisse;1992;7.31638;43.69477
3140;Caulerpa taxifolia;LEML 1997;Pointe Moulalier;1993;7.31722;43.69739
3141;Caulerpa taxifolia;LEML 1997;Pointe Passable;1993;7.31865;43.70167
3143;Caulerpa taxifolia;LEML 1997;Pointe Malalongue;1996;7.32245;43.68632
